,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income,convention_workclass,convention_education,convention_marital-status,convention_occupation,convention_relationship,convention_race,convention_sex,convention_native-country,convention_income
0,39,state-gov,77516,bachelors,13,never-married,adm-clerical,not-in-family,white,male,2174,0,40,united-states,<=50k,0,0,0,0,0,0,0,0,0
1,50,self-emp-not-inc,83311,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,0,13,united-states,<=50k,1,0,1,1,1,0,0,0,0
2,38,private,215646,hs-grad,9,divorced,handlers-cleaners,not-in-family,white,male,0,0,40,united-states,<=50k,2,1,2,2,0,0,0,0,0
3,53,private,234721,11th,7,married-civ-spouse,handlers-cleaners,husband,black,male,0,0,40,united-states,<=50k,2,2,1,2,1,1,0,0,0
4,28,private,338409,bachelors,13,married-civ-spouse,prof-specialty,wife,black,female,0,0,40,cuba,<=50k,2,0,1,3,2,1,1,1,0
5,37,private,284582,masters,14,married-civ-spouse,exec-managerial,wife,white,female,0,0,40,united-states,<=50k,2,3,1,1,2,0,1,0,0
6,49,private,160187,9th,5,married-spouse-absent,other-service,not-in-family,black,female,0,0,16,jamaica,<=50k,2,4,3,4,0,1,1,2,0
7,52,self-emp-not-inc,209642,hs-grad,9,married-civ-spouse,exec-managerial,husband,white,male,0,0,45,united-states,>50k,1,1,1,1,1,0,0,0,1
8,31,private,45781,masters,14,never-married,prof-specialty,not-in-family,white,female,14084,0,50,united-states,>50k,2,3,0,3,0,0,1,0,1
9,42,private,159449,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,5178,0,40,united-states,>50k,2,0,1,1,1,0,0,0,1
10,37,private,280464,some-college,10,married-civ-spouse,exec-managerial,husband,black,male,0,0,80,united-states,>50k,2,5,1,1,1,1,0,0,1
11,30,state-gov,141297,bachelors,13,married-civ-spouse,prof-specialty,husband,asian-pac-islander,male,0,0,40,india,>50k,0,0,1,3,1,2,0,3,1
12,23,private,122272,bachelors,13,never-married,adm-clerical,own-child,white,female,0,0,30,united-states,<=50k,2,0,0,0,3,0,1,0,0
13,32,private,205019,assoc-acdm,12,never-married,sales,not-in-family,black,male,0,0,50,united-states,<=50k,2,6,0,5,0,1,0,0,0
15,34,private,245487,7th-8th,4,married-civ-spouse,transport-moving,husband,amer-indian-eskimo,male,0,0,45,mexico,<=50k,2,7,1,6,1,3,0,4,0
16,25,self-emp-not-inc,176756,hs-grad,9,never-married,farming-fishing,own-child,white,male,0,0,35,united-states,<=50k,1,1,0,7,3,0,0,0,0
17,32,private,186824,hs-grad,9,never-married,machine-op-inspct,unmarried,white,male,0,0,40,united-states,<=50k,2,1,0,8,4,0,0,0,0
18,38,private,28887,11th,7,married-civ-spouse,sales,husband,white,male,0,0,50,united-states,<=50k,2,2,1,5,1,0,0,0,0
19,43,self-emp-not-inc,292175,masters,14,divorced,exec-managerial,unmarried,white,female,0,0,45,united-states,>50k,1,3,2,1,4,0,1,0,1
20,40,private,193524,doctorate,16,married-civ-spouse,prof-specialty,husband,white,male,0,0,60,united-states,>50k,2,8,1,3,1,0,0,0,1
21,54,private,302146,hs-grad,9,separated,other-service,unmarried,black,female,0,0,20,united-states,<=50k,2,1,4,4,4,1,1,0,0
22,35,federal-gov,76845,9th,5,married-civ-spouse,farming-fishing,husband,black,male,0,0,40,united-states,<=50k,3,4,1,7,1,1,0,0,0
23,43,private,117037,11th,7,married-civ-spouse,transport-moving,husband,white,male,0,2042,40,united-states,<=50k,2,2,1,6,1,0,0,0,0
24,59,private,109015,hs-grad,9,divorced,tech-support,unmarried,white,female,0,0,40,united-states,<=50k,2,1,2,9,4,0,1,0,0
25,56,local-gov,216851,bachelors,13,married-civ-spouse,tech-support,husband,white,male,0,0,40,united-states,>50k,4,0,1,9,1,0,0,0,1
26,19,private,168294,hs-grad,9,never-married,craft-repair,own-child,white,male,0,0,40,united-states,<=50k,2,1,0,10,3,0,0,0,0
28,39,private,367260,hs-grad,9,divorced,exec-managerial,not-in-family,white,male,0,0,80,united-states,<=50k,2,1,2,1,0,0,0,0,0
29,49,private,193366,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50k,2,1,1,10,1,0,0,0,0
30,23,local-gov,190709,assoc-acdm,12,never-married,protective-serv,not-in-family,white,male,0,0,52,united-states,<=50k,4,6,0,11,0,0,0,0,0
31,20,private,266015,some-college,10,never-married,sales,own-child,black,male,0,0,44,united-states,<=50k,2,5,0,5,3,1,0,0,0
32,45,private,386940,bachelors,13,divorced,exec-managerial,own-child,white,male,0,1408,40,united-states,<=50k,2,0,2,1,3,0,0,0,0
33,30,federal-gov,59951,some-college,10,married-civ-spouse,adm-clerical,own-child,white,male,0,0,40,united-states,<=50k,3,5,1,0,3,0,0,0,0
34,22,state-gov,311512,some-college,10,married-civ-spouse,other-service,husband,black,male,0,0,15,united-states,<=50k,0,5,1,4,1,1,0,0,0
35,48,private,242406,11th,7,never-married,machine-op-inspct,unmarried,white,male,0,0,40,puerto-rico,<=50k,2,2,0,8,4,0,0,5,0
36,21,private,197200,some-college,10,never-married,machine-op-inspct,own-child,white,male,0,0,40,united-states,<=50k,2,5,0,8,3,0,0,0,0
37,19,private,544091,hs-grad,9,married-af-spouse,adm-clerical,wife,white,female,0,0,25,united-states,<=50k,2,1,5,0,2,0,1,0,0
39,48,self-emp-not-inc,265477,assoc-acdm,12,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,<=50k,1,6,1,3,1,0,0,0,0
40,31,private,507875,9th,5,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,43,united-states,<=50k,2,4,1,8,1,0,0,0,0
41,53,self-emp-not-inc,88506,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,<=50k,1,0,1,3,1,0,0,0,0
42,24,private,172987,bachelors,13,married-civ-spouse,tech-support,husband,white,male,0,0,50,united-states,<=50k,2,0,1,9,1,0,0,0,0
43,49,private,94638,hs-grad,9,separated,adm-clerical,unmarried,white,female,0,0,40,united-states,<=50k,2,1,4,0,4,0,1,0,0
44,25,private,289980,hs-grad,9,never-married,handlers-cleaners,not-in-family,white,male,0,0,35,united-states,<=50k,2,1,0,2,0,0,0,0,0
45,57,federal-gov,337895,bachelors,13,married-civ-spouse,prof-specialty,husband,black,male,0,0,40,united-states,>50k,3,0,1,3,1,1,0,0,1
46,53,private,144361,hs-grad,9,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,38,united-states,<=50k,2,1,1,8,1,0,0,0,0
47,44,private,128354,masters,14,divorced,exec-managerial,unmarried,white,female,0,0,40,united-states,<=50k,2,3,2,1,4,0,1,0,0
48,41,state-gov,101603,assoc-voc,11,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50k,0,9,1,10,1,0,0,0,0
49,29,private,271466,assoc-voc,11,never-married,prof-specialty,not-in-family,white,male,0,0,43,united-states,<=50k,2,9,0,3,0,0,0,0,0
50,25,private,32275,some-college,10,married-civ-spouse,exec-managerial,wife,other,female,0,0,40,united-states,<=50k,2,5,1,1,2,4,1,0,0
52,47,private,51835,prof-school,15,married-civ-spouse,prof-specialty,wife,white,female,0,1902,60,honduras,>50k,2,10,1,3,2,0,1,6,1
53,50,federal-gov,251585,bachelors,13,divorced,exec-managerial,not-in-family,white,male,0,0,55,united-states,>50k,3,0,2,1,0,0,0,0,1
54,47,self-emp-inc,109832,hs-grad,9,divorced,exec-managerial,not-in-family,white,male,0,0,60,united-states,<=50k,5,1,2,1,0,0,0,0,0
55,43,private,237993,some-college,10,married-civ-spouse,tech-support,husband,white,male,0,0,40,united-states,>50k,2,5,1,9,1,0,0,0,1
56,46,private,216666,5th-6th,3,married-civ-spouse,machine-op-inspct,husband,white,male,0,0,40,mexico,<=50k,2,11,1,8,1,0,0,4,0
57,35,private,56352,assoc-voc,11,married-civ-spouse,other-service,husband,white,male,0,0,40,puerto-rico,<=50k,2,9,1,4,1,0,0,5,0
58,41,private,147372,hs-grad,9,married-civ-spouse,adm-clerical,husband,white,male,0,0,48,united-states,<=50k,2,1,1,0,1,0,0,0,0
59,30,private,188146,hs-grad,9,married-civ-spouse,machine-op-inspct,husband,white,male,5013,0,40,united-states,<=50k,2,1,1,8,1,0,0,0,0
60,30,private,59496,bachelors,13,married-civ-spouse,sales,husband,white,male,2407,0,40,united-states,<=50k,2,0,1,5,1,0,0,0,0
62,48,private,149640,hs-grad,9,married-civ-spouse,transport-moving,husband,white,male,0,0,40,united-states,<=50k,2,1,1,6,1,0,0,0,0
63,42,private,116632,doctorate,16,married-civ-spouse,prof-specialty,husband,white,male,0,0,45,united-states,>50k,2,8,1,3,1,0,0,0,1
64,29,private,105598,some-college,10,divorced,tech-support,not-in-family,white,male,0,0,58,united-states,<=50k,2,5,2,9,0,0,0,0,0
65,36,private,155537,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50k,2,1,1,10,1,0,0,0,0
66,28,private,183175,some-college,10,divorced,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50k,2,5,2,0,0,0,1,0,0
67,53,private,169846,hs-grad,9,married-civ-spouse,adm-clerical,wife,white,female,0,0,40,united-states,>50k,2,1,1,0,2,0,1,0,1
68,49,self-emp-inc,191681,some-college,10,married-civ-spouse,exec-managerial,husband,white,male,0,0,50,united-states,>50k,5,5,1,1,1,0,0,0,1
70,19,private,101509,some-college,10,never-married,prof-specialty,own-child,white,male,0,0,32,united-states,<=50k,2,5,0,3,3,0,0,0,0
71,31,private,309974,bachelors,13,separated,sales,own-child,black,female,0,0,40,united-states,<=50k,2,0,4,5,3,1,1,0,0
72,29,self-emp-not-inc,162298,bachelors,13,married-civ-spouse,sales,husband,white,male,0,0,70,united-states,>50k,1,0,1,5,1,0,0,0,1
73,23,private,211678,some-college,10,never-married,machine-op-inspct,not-in-family,white,male,0,0,40,united-states,<=50k,2,5,0,8,0,0,0,0,0
74,79,private,124744,some-college,10,married-civ-spouse,prof-specialty,other-relative,white,male,0,0,20,united-states,<=50k,2,5,1,3,5,0,0,0,0
75,27,private,213921,hs-grad,9,never-married,other-service,own-child,white,male,0,0,40,mexico,<=50k,2,1,0,4,3,0,0,4,0
76,40,private,32214,assoc-acdm,12,married-civ-spouse,adm-clerical,husband,white,male,0,0,40,united-states,<=50k,2,6,1,0,1,0,0,0,0
78,18,private,309634,11th,7,never-married,other-service,own-child,white,female,0,0,22,united-states,<=50k,2,2,0,4,3,0,1,0,0
79,31,local-gov,125927,7th-8th,4,married-civ-spouse,farming-fishing,husband,white,male,0,0,40,united-states,<=50k,4,7,1,7,1,0,0,0,0
80,18,private,446839,hs-grad,9,never-married,sales,not-in-family,white,male,0,0,30,united-states,<=50k,2,1,0,5,0,0,0,0,0
81,52,private,276515,bachelors,13,married-civ-spouse,other-service,husband,white,male,0,0,40,cuba,<=50k,2,0,1,4,1,0,0,1,0
82,46,private,51618,hs-grad,9,married-civ-spouse,other-service,wife,white,female,0,0,40,united-states,<=50k,2,1,1,4,2,0,1,0,0
83,59,private,159937,hs-grad,9,married-civ-spouse,sales,husband,white,male,0,0,48,united-states,<=50k,2,1,1,5,1,0,0,0,0
84,44,private,343591,hs-grad,9,divorced,craft-repair,not-in-family,white,female,14344,0,40,united-states,>50k,2,1,2,10,0,0,1,0,1
85,53,private,346253,hs-grad,9,divorced,sales,own-child,white,female,0,0,35,united-states,<=50k,2,1,2,5,3,0,1,0,0
86,49,local-gov,268234,hs-grad,9,married-civ-spouse,protective-serv,husband,white,male,0,0,40,united-states,>50k,4,1,1,11,1,0,0,0,1
87,33,private,202051,masters,14,married-civ-spouse,prof-specialty,husband,white,male,0,0,50,united-states,<=50k,2,3,1,3,1,0,0,0,0
88,30,private,54334,9th,5,never-married,sales,not-in-family,white,male,0,0,40,united-states,<=50k,2,4,0,5,0,0,0,0,0
89,43,federal-gov,410867,doctorate,16,never-married,prof-specialty,not-in-family,white,female,0,0,50,united-states,>50k,3,8,0,3,0,0,1,0,1
90,57,private,249977,assoc-voc,11,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,<=50k,2,9,1,3,1,0,0,0,0
91,37,private,286730,some-college,10,divorced,craft-repair,unmarried,white,female,0,0,40,united-states,<=50k,2,5,2,10,4,0,1,0,0
92,28,private,212563,some-college,10,divorced,machine-op-inspct,unmarried,black,female,0,0,25,united-states,<=50k,2,5,2,8,4,1,1,0,0
94,34,local-gov,226296,bachelors,13,married-civ-spouse,protective-serv,husband,white,male,0,0,40,united-states,>50k,4,0,1,11,1,0,0,0,1
95,29,local-gov,115585,some-college,10,never-married,handlers-cleaners,not-in-family,white,male,0,0,50,united-states,<=50k,4,5,0,2,0,0,0,0,0
96,48,self-emp-not-inc,191277,doctorate,16,married-civ-spouse,prof-specialty,husband,white,male,0,1902,60,united-states,>50k,1,8,1,3,1,0,0,0,1
97,37,private,202683,some-college,10,married-civ-spouse,sales,husband,white,male,0,0,48,united-states,>50k,2,5,1,5,1,0,0,0,1
98,48,private,171095,assoc-acdm,12,divorced,exec-managerial,unmarried,white,female,0,0,40,england,<=50k,2,6,2,1,4,0,1,7,0
99,32,federal-gov,249409,hs-grad,9,never-married,other-service,own-child,black,male,0,0,40,united-states,<=50k,3,1,0,4,3,1,0,0,0
100,76,private,124191,masters,14,married-civ-spouse,exec-managerial,husband,white,male,0,0,40,united-states,>50k,2,3,1,1,1,0,0,0,1
101,44,private,198282,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,15024,0,60,united-states,>50k,2,0,1,1,1,0,0,0,1
102,47,self-emp-not-inc,149116,masters,14,never-married,prof-specialty,not-in-family,white,female,0,0,50,united-states,<=50k,1,3,0,3,0,0,1,0,0
103,20,private,188300,some-college,10,never-married,tech-support,own-child,white,female,0,0,40,united-states,<=50k,2,5,0,9,3,0,1,0,0
104,29,private,103432,hs-grad,9,never-married,craft-repair,not-in-family,white,male,0,0,40,united-states,<=50k,2,1,0,10,0,0,0,0,0
105,32,self-emp-inc,317660,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,7688,0,40,united-states,>50k,5,1,1,10,1,0,0,0,1
107,30,private,194901,11th,7,never-married,handlers-cleaners,own-child,white,male,0,0,40,united-states,<=50k,2,2,0,2,3,0,0,0,0
108,31,local-gov,189265,hs-grad,9,never-married,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50k,4,1,0,0,0,0,1,0,0
109,42,private,124692,hs-grad,9,married-civ-spouse,handlers-cleaners,husband,white,male,0,0,40,united-states,<=50k,2,1,1,2,1,0,0,0,0
110,24,private,432376,bachelors,13,never-married,sales,other-relative,white,male,0,0,40,united-states,<=50k,2,0,0,5,5,0,0,0,0
111,38,private,65324,prof-school,15,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,united-states,>50k,2,10,1,3,1,0,0,0,1
112,56,self-emp-not-inc,335605,hs-grad,9,married-civ-spouse,other-service,husband,white,male,0,1887,50,canada,>50k,1,1,1,4,1,0,0,8,1
113,28,private,377869,some-college,10,married-civ-spouse,sales,wife,white,female,4064,0,25,united-states,<=50k,2,5,1,5,2,0,1,0,0
114,36,private,102864,hs-grad,9,never-married,machine-op-inspct,own-child,white,female,0,0,40,united-states,<=50k,2,1,0,8,3,0,1,0,0
115,53,private,95647,9th,5,married-civ-spouse,handlers-cleaners,husband,white,male,0,0,50,united-states,<=50k,2,4,1,2,1,0,0,0,0
116,56,self-emp-inc,303090,some-college,10,married-civ-spouse,sales,husband,white,male,0,0,50,united-states,<=50k,5,5,1,5,1,0,0,0,0
117,49,local-gov,197371,assoc-voc,11,married-civ-spouse,craft-repair,husband,black,male,0,0,40,united-states,>50k,4,9,1,10,1,1,0,0,1
118,55,private,247552,some-college,10,married-civ-spouse,sales,husband,white,male,0,0,56,united-states,<=50k,2,5,1,5,1,0,0,0,0
119,22,private,102632,hs-grad,9,never-married,craft-repair,not-in-family,white,male,0,0,41,united-states,<=50k,2,1,0,10,0,0,0,0,0
120,21,private,199915,some-college,10,never-married,other-service,own-child,white,female,0,0,40,united-states,<=50k,2,5,0,4,3,0,1,0,0
121,40,private,118853,bachelors,13,married-civ-spouse,exec-managerial,husband,white,male,0,0,60,united-states,<=50k,2,0,1,1,1,0,0,0,0
122,30,private,77143,bachelors,13,never-married,exec-managerial,own-child,black,male,0,0,40,germany,<=50k,2,0,0,1,3,1,0,9,0
123,29,state-gov,267989,bachelors,13,married-civ-spouse,prof-specialty,husband,white,male,0,0,50,united-states,>50k,0,0,1,3,1,0,0,0,1
124,19,private,301606,some-college,10,never-married,other-service,own-child,black,male,0,0,35,united-states,<=50k,2,5,0,4,3,1,0,0,0
125,47,private,287828,bachelors,13,married-civ-spouse,exec-managerial,wife,white,female,0,0,40,united-states,>50k,2,0,1,1,2,0,1,0,1
126,20,private,111697,some-college,10,never-married,adm-clerical,own-child,white,female,0,1719,28,united-states,<=50k,2,5,0,0,3,0,1,0,0
127,31,private,114937,assoc-acdm,12,married-civ-spouse,adm-clerical,husband,white,male,0,0,40,united-states,>50k,2,6,1,0,1,0,0,0,1
129,39,private,365739,some-college,10,divorced,craft-repair,not-in-family,white,male,0,0,40,united-states,<=50k,2,5,2,10,0,0,0,0,0
130,28,private,69621,assoc-acdm,12,never-married,sales,not-in-family,white,female,0,0,60,united-states,<=50k,2,6,0,5,0,0,1,0,0
131,24,private,43323,hs-grad,9,never-married,other-service,not-in-family,white,female,0,1762,40,united-states,<=50k,2,1,0,4,0,0,1,0,0
132,38,self-emp-not-inc,120985,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,4386,0,35,united-states,<=50k,1,1,1,10,1,0,0,0,0
133,37,private,254202,bachelors,13,married-civ-spouse,sales,husband,white,male,0,0,50,united-states,<=50k,2,0,1,5,1,0,0,0,0
134,46,private,146195,assoc-acdm,12,divorced,tech-support,not-in-family,black,female,0,0,36,united-states,<=50k,2,6,2,9,0,1,1,0,0
135,38,federal-gov,125933,masters,14,married-civ-spouse,prof-specialty,husband,white,male,0,0,40,iran,>50k,3,3,1,3,1,0,0,10,1
136,43,self-emp-not-inc,56920,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,60,united-states,<=50k,1,1,1,10,1,0,0,0,0
137,27,private,163127,assoc-voc,11,married-civ-spouse,adm-clerical,wife,white,female,0,0,35,united-states,<=50k,2,9,1,0,2,0,1,0,0
138,20,private,34310,some-college,10,never-married,sales,own-child,white,male,0,0,20,united-states,<=50k,2,5,0,5,3,0,0,0,0
139,49,private,81973,some-college,10,married-civ-spouse,craft-repair,husband,asian-pac-islander,male,0,0,40,united-states,>50k,2,5,1,10,1,2,0,0,1
140,61,self-emp-inc,66614,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,40,united-states,<=50k,5,1,1,10,1,0,0,0,0
141,27,private,232782,some-college,10,never-married,sales,own-child,white,female,0,0,40,united-states,<=50k,2,5,0,5,3,0,1,0,0
142,19,private,316868,some-college,10,never-married,other-service,own-child,white,male,0,0,30,mexico,<=50k,2,5,0,4,3,0,0,4,0
143,45,private,196584,assoc-voc,11,never-married,prof-specialty,not-in-family,white,female,0,1564,40,united-states,>50k,2,9,0,3,0,0,1,0,1
144,70,private,105376,some-college,10,never-married,tech-support,other-relative,white,male,0,0,40,united-states,<=50k,2,5,0,9,5,0,0,0,0
145,31,private,185814,hs-grad,9,never-married,transport-moving,unmarried,black,female,0,0,30,united-states,<=50k,2,1,0,6,4,1,1,0,0
146,22,private,175374,some-college,10,married-civ-spouse,other-service,husband,white,male,0,0,24,united-states,<=50k,2,5,1,4,1,0,0,0,0
147,36,private,108293,hs-grad,9,widowed,other-service,unmarried,white,female,0,0,24,united-states,<=50k,2,1,6,4,4,0,1,0,0
148,64,private,181232,11th,7,married-civ-spouse,craft-repair,husband,white,male,0,2179,40,united-states,<=50k,2,2,1,10,1,0,0,0,0
150,47,local-gov,186009,some-college,10,divorced,adm-clerical,unmarried,white,female,0,0,38,mexico,<=50k,4,5,2,0,4,0,1,4,0
151,34,private,198183,hs-grad,9,never-married,adm-clerical,not-in-family,white,female,0,0,40,united-states,<=50k,2,1,0,0,0,0,1,0,0
152,33,private,163003,bachelors,13,never-married,exec-managerial,other-relative,asian-pac-islander,female,0,0,40,philippines,<=50k,2,0,0,1,5,2,1,11,0
153,21,private,296158,hs-grad,9,never-married,craft-repair,own-child,white,male,0,0,35,united-states,<=50k,2,1,0,10,3,0,0,0,0
155,48,private,187715,hs-grad,9,married-civ-spouse,craft-repair,husband,white,male,0,0,46,united-states,<=50k,2,1,1,10,1,0,0,0,0
156,23,private,214542,bachelors,13,never-married,handlers-cleaners,not-in-family,white,male,0,0,40,united-states,<=50k,2,0,0,2,0,0,0,0,0
157,71,self-emp-not-inc,494223,some-college,10,separated,sales,unmarried,black,male,0,1816,2,united-states,<=50k,1,5,4,5,4,1,0,0,0
158,29,private,191535,hs-grad,9,divorced,craft-repair,not-in-family,white,male,0,0,60,united-states,<=50k,2,1,2,10,0,0,0,0,0
159,42,private,228456,bachelors,13,separated,other-service,other-relative,black,male,0,0,50,united-states,<=50k,2,0,4,4,5,1,0,0,0
